"","pitchuid","date","gameid","pitchno","first_seen_at","last_updated_at","source_raw_id","time","utcdate","utctime","localdatetime","utcdatetime","hometeam","awayteam","stadium","level","league","gameuid","gameforeignid","hometeamforeignid","awayteamforeignid","system","inning","topbottom","outs","balls","strikes","paofinning","pitchofpa","pitcher","pitcherid","pitcherteam","pitcherthrows","pitcherset","batter","batterid","batterteam","batterside","catcher","catcherid","catcherteam","catcherthrows","taggedpitchtype","autopitchtype","pitchcall","relspeed","spinrate","spinaxis","tilt","extension","effectivevelo","relheight","relside","vertrelangle","horzrelangle","inducedvertbreak","horzbreak","vertbreak","pfxx","pfxz","platelocheight","platelocside","zonespeed","vertapprangle","horzapprangle","zonetime","x0","y0","z0","vx0","vy0","vz0","ax0","ay0","az0","pitchtrajectoryxc0","pitchtrajectoryxc1","pitchtrajectoryxc2","pitchtrajectoryyc0","pitchtrajectoryyc1","pitchtrajectoryyc2","pitchtrajectoryzc0","pitchtrajectoryzc1","pitchtrajectoryzc2","taggedhittype","autohittype","exitspeed","angle","direction","distance","hitspinrate","hitspinaxis","hangtime","bearing","positionat110x","positionat110y","positionat110z","lasttrackeddistance","contactpositionx","contactpositiony","contactpositionz","pitchlastmeasuredx","pitchlastmeasuredy","pitchlastmeasuredz","playresult","korbb","outsonplay","runsscored","notes","playid","maxheight","measuredduration","speeddrop","created_at","updated_at"
"1","007a3b30-3f66-11f0-85af-cfb5ba909057",2025-06-01,"20250601-PKPark-2",155,2026-02-03 10:13:01.201504,2026-02-03 10:13:01.201504,2002984,"20:58:57.41",2025-06-02,03:58:57.41,2025-06-02 03:58:57.418,2025-06-02 03:58:57.418,"ARI_WIL","CAL_MUS","PKPark","D1","BIG12","9134d16c-63e1-4277-a9f8-2b8a052c56a3",NA,"232","471251","v3",5,"Top",2,2,2,"4","5","Bailey, Smith","815344","ARI_WIL","Right","Undefined","Vachini, Dante","10281096","CAL_MUS","Left","Guzman, Adonys","702631","ARI_WIL","Right","Fastball","Four-Seam","StrikeCalled",93.67,2314.39,224.1325,"1:30",6.216,93.1,6.149,1.394,-2.2389,-3.9323,16.1558,14.6619,-15.484,-8.6949,9.3134,2.787,-1.019,85.35,-5.2031,-1.2925,0.40484,-1.1062,50,5.9734,8.7036,-135.7524,-5.7607,-16.1912,30.3038,-14.831,54.28206,-136.70493,15.15187,6.14712,-5.29455,-7.41552,-1.38778,9.21254,-8.09561,"Undefined",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Undefined","Strikeout",0,0,NA,"b3375d4d-d474-4674-8f29-17aec5ebe648",NA,NA,8.32,2026-02-03 10:13:01.201504,2026-02-03 10:13:01.201504
"2","02490df0-3f49-11f0-85af-cfb5ba909057",2025-06-01,"20250601-PKPark-1",258,2026-02-03 10:13:01.201504,2026-02-03 10:13:01.201504,2002728,"17:31:25.00",2025-06-02,00:31:25.00,2025-06-02 00:31:25.004595,2025-06-02 00:31:25.004595,"CAL_MUS","UTA_WOL","PKPark","D1","BIG10","677a17b8-066f-4862-aa60-38a27588ff4e",NA,"471251","471519","v3",8,"Top",0,1,1,"1","3","Downs, Chris","1000279237","CAL_MUS","Left","Undefined","Longo, Dominic","1000363616","UTA_WOL","Right","Collins, Jack","1000228996","CAL_MUS","Right","ChangeUp","Changeup","FoulBallNotFieldable",79.96,1485.31,105.1525,"9:30",5.886,78.87,5.804,-2.403,-0.1784,2.7495,4.9946,-12.8947,-39.1009,7.486,3.0174,2.379,-0.923,72.79,-7.4188,0.4356,0.47794,2.1889,50,5.7665,-5.0882,-115.9873,-1.5802,10.102,23.5989,-28.1022,54.61252,-116.92196,11.79947,5.80706,-0.46715,-14.05111,2.39831,-5.48836,5.05099,"Undefined","Popup",73.36,74.0425,52.8495,115.69,4561.27,196.1893,5.43,77.8812,NA,NA,NA,113.07,3.2465,2.0906,0.0902,NA,NA,NA,"Undefined","Undefined",0,0,NA,"aae971e4-a0e6-459e-8e51-a91cdfc47b05",125.43,NA,7.16,2026-02-03 10:13:01.201504,2026-02-03 10:13:01.201504
"3","02aed9d0-3f37-11f0-85af-cfb5ba909057",2025-06-01,"20250601-PKPark-1",32,2026-02-03 10:13:01.201504,2026-02-03 10:13:01.201504,2002502,"15:22:34.75",2025-06-01,22:22:34.75,2025-06-01 22:22:34.750515,2025-06-01 22:22:34.750515,"CAL_MUS","UTA_WOL","PKPark","D1","BIG10","677a17b8-066f-4862-aa60-38a27588ff4e",NA,"471251","471519","v3",1,"Bottom",1,3,1,"2","5","Heppner, Jacob","1000313312","UTA_WOL","Left","Undefined","Fenn, Ryan","809917","CAL_MUS","Right","Strong, Mason","701767","UTA_WOL","Right","Fastball","Four-Seam","StrikeCalled",89.33,2247.28,147.5607,"11:00",5.991,87.48,5.915,-2.706,-3.6061,3.635,22.8829,-13.641,-12.9525,8.2275,13.3689,1.482,-0.469,79.93,-6.161,1.1889,0.43085,2.4261,50,5.6227,-7.6135,-129.0368,-8.4362,13.5672,32.3503,-10.1286,54.50381,-130.16107,16.17514,5.90973,-8.08419,-5.0643,2.69887,-8.08497,6.78359,"Undefined",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Undefined","Undefined",0,0,NA,"f5d0493a-b67b-45e4-8fdb-8fe505923657",NA,NA,9.41,2026-02-03 10:13:01.201504,2026-02-03 10:13:01.201504
"4","02fda400-3f61-11f0-85af-cfb5ba909057",2025-06-01,"20250601-PKPark-2",86,2026-02-03 10:13:01.201504,2026-02-03 10:13:01.201504,2002915,"20:23:14.16",2025-06-02,03:23:14.16,2025-06-02 03:23:14.166938,2025-06-02 03:23:14.166938,"ARI_WIL","CAL_MUS","PKPark","D1","BIG12","9134d16c-63e1-4277-a9f8-2b8a052c56a3",NA,"232","471251","v3",2,"Bottom",2,3,2,"6","7","Morano, Josh","814698","CAL_MUS","Left","Undefined","Caulfield, Garen","800595","ARI_WIL","Right","Collins, Jack","1000228996","CAL_MUS","Right","ChangeUp","Changeup","InPlay",77.63,1328.77,79.2864,"8:45",6.773,78.18,5.467,-2.197,0.0961,3.4306,-0.9526,-12.4017,-45.8198,7.6062,-0.1916,1.737,-0.094,71.45,-8.4562,1.1681,0.4821,1.9774,50,5.4563,-6.377,-112.8296,-1.0186,9.7892,20.8405,-32.4207,53.72883,-113.51624,10.42026,5.47229,0.04965,-16.21034,2.19284,-6.69957,4.89458,"LineDrive","LineDrive",102.39,12.853,-33.0338,203.84,2560.87,NA,1.702,-39.5949,88.8631,14.3873,-64.8329,203.84,2.3762,1.791,0.1081,NA,NA,NA,"Double","Undefined",0,0,NA,"8d3eb75b-3dc9-48fe-928a-7efd1f995e12",14.4,NA,6.18,2026-02-03 10:13:01.201504,2026-02-03 10:13:01.201504
"5","03828840-3f5d-11f0-85af-cfb5ba909057",2025-06-01,"20250601-PKPark-2",36,2026-02-03 10:13:01.201504,2026-02-03 10:13:01.201504,2002865,"19:54:37.03",2025-06-02,02:54:37.03,2025-06-02 02:54:37.032806,2025-06-02 02:54:37.032806,"ARI_WIL","CAL_MUS","PKPark","D1","BIG12","9134d16c-63e1-4277-a9f8-2b8a052c56a3",NA,"232","471251","v3",1,"Bottom",2,0,0,"9","1","Marmie, Ethan","1000151830","CAL_MUS","Right","Undefined","Breyfogle, Easton","807741","ARI_WIL","Left","Collins, Jack","1000228996","CAL_MUS","Right","Fastball","Sinker","StrikeCalled",93.75,2141.88,261.807,"2:45",5.871,92.22,6.658,1.658,-1.1997,-3.7207,2.913,12.3968,-29.3369,-7.4583,2.2188,3.096,-0.77,84.92,-6.6326,-1.5002,0.40873,-1.3635,50,6.5439,8.2644,-135.7685,-3.9405,-13.7649,32.8396,-28.0791,54.62566,-136.88275,16.4198,6.66148,-2.98771,-14.03953,-1.65187,8.73149,-6.88247,"Undefined",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Undefined","Undefined",0,0,NA,"a33dd15d-0b64-4841-9c1d-da6255ca0373",NA,NA,8.83,2026-02-03 10:13:01.201504,2026-02-03 10:13:01.201504
"6","03ba4bd0-3f36-11f0-85af-cfb5ba909057",2025-06-01,"20250601-PKPark-1",18,2026-02-03 10:13:01.201504,2026-02-03 10:13:01.201504,2002488,"15:15:26.98",2025-06-01,22:15:26.98,2025-06-01 22:15:26.984704,2025-06-01 22:15:26.984704,"CAL_MUS","UTA_WOL","PKPark","D1","BIG10","677a17b8-066f-4862-aa60-38a27588ff4e",NA,"471251","471519","v3",1,"Top",1,2,2,"3","5","Kovach, Luke","1000117537","CAL_MUS","Left","Undefined","Frei, Landon","1000363618","UTA_WOL","Right","Collins, Jack","1000228996","CAL_MUS","Right","Slider","Curveball","InPlay",79.64,2533.95,298.7928,"4:00",5.425,77.98,6.008,-1.295,0.7889,0.3544,-2.9756,8.1316,-48.0783,-4.0065,-1.3425,2.74,-0.286,72.71,-7.9858,1.8034,0.48336,1.2581,50,6.0439,-1.0367,-115.5957,-0.0632,-5.3756,23.2384,-33.9753,55.07485,-116.61142,11.61919,6.01422,1.42189,-16.98766,1.29829,-0.80175,-2.68779,"Popup",NA,82.97,76.9367,-19.5182,NA,NA,183.9977,NA,NA,NA,NA,NA,19.99,1.9026,2.6116,0.3669,NA,NA,NA,"Out","Undefined",1,0,NA,"a6b586ec-0e83-4b46-9f2e-dbbb26e299d9",118.17,NA,6.93,2026-02-03 10:13:01.201504,2026-02-03 10:13:01.201504
"7","03c2f730-3f5e-11f0-85af-cfb5ba909057",2025-06-01,"20250601-PKPark-2",50,2026-02-03 10:13:01.201504,2026-02-03 10:13:01.201504,2002879,"20:01:47.12",2025-06-02,03:01:47.12,2025-06-02 03:01:47.126733,2025-06-02 03:01:47.126733,"ARI_WIL","CAL_MUS","PKPark","D1","BIG12","9134d16c-63e1-4277-a9f8-2b8a052c56a3",NA,"232","471251","v3",2,"Top",1,2,1,"3","4","Bailey, Smith","815344","ARI_WIL","Right","Undefined","Hoiland, Cameron","1000256661","CAL_MUS","Left","Guzman, Adonys","702631","ARI_WIL","Right","Fastball","Four-Seam","StrikeSwinging",92.79,2366.6,217.3705,"1:15",6.027,92.08,6.185,1.509,-2.1231,-2.3464,18.4064,13.2582,-13.9392,-7.4277,10.3534,3.055,0.44,84.68,-4.8015,0.0373,0.40934,-1.3327,50,6.0114,4.9328,-134.6455,-5.3765,-13.6283,29.3817,-13.1776,54.47021,-135.61744,14.69084,6.18204,-4.94056,-6.58879,-1.5033,5.38359,-6.81415,"Undefined",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Undefined","Undefined",0,0,NA,"e1579555-6d46-4d18-b984-b5cdb9ee55ab",NA,NA,8.11,2026-02-03 10:13:01.201504,2026-02-03 10:13:01.201504
"8","04576340-3f43-11f0-85af-cfb5ba909057",2025-06-01,"20250601-PKPark-1",181,2026-02-03 10:13:01.201504,2026-02-03 10:13:01.201504,2002651,"16:48:31.48",2025-06-01,23:48:31.48,2025-06-01 23:48:31.485082,2025-06-01 23:48:31.485082,"CAL_MUS","UTA_WOL","PKPark","D1","BIG10","677a17b8-066f-4862-aa60-38a27588ff4e",NA,"471251","471519","v3",5,"Top",1,1,0,"3","2","Downs, Chris","1000279237","CAL_MUS","Left","Undefined","Frei, Landon","1000363618","UTA_WOL","Right","Collins, Jack","1000228996","CAL_MUS","Right","Fastball","Changeup","InPlay",85.24,2103.65,125.789,"10:15",5.975,84.42,6.01,-2.487,-1.5947,3.5562,13.3317,-16.7505,-25.1521,9.6656,7.6758,2.432,-0.582,77.89,-6.3063,0.5501,0.44649,2.2153,50,5.8692,-7.0247,-123.6067,-4.2169,14.9263,25.0603,-20.3205,54.52415,-124.52059,12.53015,6.00949,-3.47591,-10.16025,2.48142,-7.56904,7.46314,"GroundBall","GroundBall",97.74,0.2661,-29.2546,56.61,3954.11,NA,0.406,-29.7696,NA,NA,NA,52.63,2.1862,2.6654,0.5792,NA,NA,NA,"Out","Undefined",1,0,NA,"a6f6a07d-6090-40f5-9f23-5d978fce5909",2.67,NA,7.35,2026-02-03 10:13:01.201504,2026-02-03 10:13:01.201504
"9","04fa5d60-3f6c-11f0-85af-cfb5ba909057",2025-06-01,"20250601-PKPark-2",229,2026-02-03 10:13:01.201504,2026-02-03 10:13:01.201504,2003058,"21:42:01.90",2025-06-02,04:42:01.90,2025-06-02 04:42:01.90889,2025-06-02 04:42:01.90889,"ARI_WIL","CAL_MUS","PKPark","D1","BIG12","9134d16c-63e1-4277-a9f8-2b8a052c56a3",NA,"232","471251","v3",7,"Bottom",2,2,0,"4","3","Kalfsbeek, Luke","1000373329","CAL_MUS","Left","Undefined","Splaine, Thomas","1000016801","ARI_WIL","Right","Collins, Jack","1000228996","CAL_MUS","Right","Fastball","Changeup","InPlay",86.54,2132.83,121.6722,"10:00",6.61,86.37,5.873,-2.499,-1.464,3.9831,11.5345,-16.6041,-25.2329,9.986,6.8997,2.426,-0.228,78.43,-6.2561,0.9693,0.43642,2.2338,50,5.7628,-8.1194,-125.467,-3.9107,15.7393,28.0473,-21.2993,53.88833,-126.3332,14.02367,5.87343,-3.25292,-10.64963,2.49205,-8.60548,7.86963,"FlyBall","FlyBall",101.62,30.8391,-5.1508,403.74,2535.94,192.7976,5.164,-0.4274,109.7643,61.5262,-7.1963,403.74,1.6769,2.3477,0.2331,NA,NA,NA,"HomeRun","Undefined",0,2,NA,"d1610e5b-fb2e-46f9-937c-87937d2f8b31",92.69,NA,8.11,2026-02-03 10:13:01.201504,2026-02-03 10:13:01.201504
"10","060daa50-3f39-11f0-85af-cfb5ba909057",2025-06-01,"20250601-PKPark-1",62,2026-02-03 10:13:01.201504,2026-02-03 10:13:01.201504,2002532,"15:36:59.42",2025-06-01,22:36:59.42,2025-06-01 22:36:59.427533,2025-06-01 22:36:59.427533,"CAL_MUS","UTA_WOL","PKPark","D1","BIG10","677a17b8-066f-4862-aa60-38a27588ff4e",NA,"471251","471519","v3",2,"Top",2,1,0,"3","2","Kovach, Luke","1000117537","CAL_MUS","Left","Undefined","Colyer, CJ","1000360207","UTA_WOL","Left","Collins, Jack","1000228996","CAL_MUS","Right","Fastball","Four-Seam","StrikeSwinging",88.55,2349.61,160.0074,"11:15",5.568,86.29,6.311,-0.571,-3.6271,0.9267,23.4453,-8.0165,-13.3847,4.3408,13.4311,1.802,-0.373,79.58,-6.2307,-0.5033,0.43679,0.4963,50,5.9893,-1.7132,-128.0558,-8.4518,7.0773,30.909,-10.2755,54.92614,-129.23939,15.4545,6.30539,-8.05831,-5.13777,0.5671,-1.98424,3.53865,"Undefined",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Undefined","Undefined",0,0,NA,"ed2bda5f-6b5d-4659-ae10-c53259c5c332",NA,NA,8.97,2026-02-03 10:13:01.201504,2026-02-03 10:13:01.201504
